entry_date,exit_date,entry_price,exit_price,shares,pnl
1997-06-30,1997-07-21,21.32,22.28,4690.61,4485.05
1997-07-22,1997-08-08,21.71,22.45,4813.04,3579.46
1997-08-13,1997-08-14,23.2,23.37,4658.73,824.91
1997-08-15,1997-09-26,22.91,23.13,4752.34,1009.8
1997-09-29,1997-09-30,23.02,24.44,4774.27,6763.03
1997-10-02,1997-12-18,23.73,18.69,4916.79,-24747.64
1997-12-19,1997-12-24,18.45,19.23,4982.98,3888.66
1997-12-30,1998-01-27,18.76,20.11,5105.43,6881.91
1998-01-30,1998-03-11,20.22,20.36,5078.56,720.61
1998-03-12,1998-03-27,20.22,21.5,5114.2,6530.88
1998-03-31,1998-04-06,21.89,23.31,5023.02,7127.19
1998-04-08,1998-04-09,22.53,23.16,5197.05,3318.38
1998-04-13,1998-04-23,22.77,23.98,5286.1,6375.44
1998-04-27,1998-07-08,22.99,19.61,5514.51,-18609.93
1998-07-09,1998-09-11,19.61,20.54,5514.51,5093.88
1998-09-14,1998-09-18,18.76,19.33,6036.71,3431.5
1998-09-22,1998-09-24,19.33,20.64,6036.71,7935.48
1998-09-30,1998-10-02,21.32,23.48,5845.55,12668.56
1998-10-06,1998-10-08,22.24,25.22,6172.38,18420.56
1998-10-09,1998-11-06,24.16,24.76,6444.69,3892.49
1998-11-09,1999-01-11,23.8,22.77,6704.4,-6933.45
1999-01-13,1999-04-20,21.31,20.14,7163.3,-8410.08
1999-04-21,1999-04-28,19.89,20.81,7253.0,6709.09
1999-05-03,1999-05-04,20.92,21.67,7216.0,5391.29
1999-05-05,1999-05-06,21.77,23.84,7180.62,14817.24
1999-05-10,1999-06-24,20.56,19.36,8323.56,-10041.17
1999-06-25,1999-06-28,19.11,19.39,8432.26,2404.8
1999-06-29,1999-06-30,19.07,19.39,8574.11,2750.92
1999-07-07,1999-08-04,19.14,20.78,8685.88,14243.64
1999-08-06,1999-08-10,20.82,21.64,8671.01,7109.7
1999-08-11,1999-09-22,21.32,21.21,8801.51,-941.36
1999-09-24,1999-09-27,21.21,23.17,8801.5,17257.12
1999-09-29,1999-11-25,24.42,20.28,8351.8,-34537.2
1999-11-29,2000-02-07,19.64,20.0,8625.36,3080.22
2000-02-08,2000-02-10,18.32,19.18,9415.6,8069.76
2000-02-14,2000-03-22,18.93,17.57,9539.96,-12945.76
2000-03-23,2000-04-17,17.14,18.14,9778.46,9777.59
2000-04-18,2000-04-25,17.61,18.21,10075.98,6116.96
2000-04-26,2000-05-03,17.28,19.53,10617.26,23886.61
2000-05-05,2000-05-25,19.89,20.0,10426.64,1117.0
2000-05-26,2000-06-06,19.36,20.78,10772.91,15388.48
2000-06-08,2000-08-17,19.82,18.57,11297.01,-14119.87
2000-08-18,2000-11-10,17.82,15.14,11772.43,-31530.43
2000-11-13,2000-11-22,14.71,15.43,12115.31,8653.05
2000-11-24,2000-11-28,15.89,16.25,11761.38,4200.0
2000-11-30,2000-12-01,16.25,16.36,11761.38,1260.03
2000-12-06,2000-12-07,16.48,17.32,11674.71,9839.22
2000-12-12,2000-12-20,17.18,18.11,11771.8,10929.95
2000-12-22,2001-02-26,18.14,17.11,11748.62,-12167.05
2001-03-01,2001-03-02,17.71,17.68,11345.95,-405.27
2001-03-05,2001-03-06,17.46,18.0,11485.16,6152.24
2001-03-07,2001-03-08,18.03,18.03,11462.42,-0.05
2001-03-12,2001-04-17,18.46,17.43,11196.36,-11595.2
2001-04-18,2001-04-19,17.07,17.78,11430.6,8163.93
2001-04-23,2001-04-27,17.36,18.17,11712.83,9536.65
2001-05-01,2001-05-02,17.93,18.32,11871.49,4663.45
2001-05-04,2001-05-10,17.89,19.03,12155.84,13890.98
2001-05-14,2001-05-17,19.0,19.89,12178.69,10872.77
2001-05-23,2001-07-25,19.71,17.06,12289.0,-32650.57
2001-07-26,2001-08-10,16.89,17.66,12408.51,9571.4
2001-08-13,2001-08-14,17.26,17.57,12696.01,3899.14
2001-08-15,2001-08-16,17.5,18.0,12747.83,6373.27
2001-08-21,2001-09-13,18.21,19.11,12597.86,11247.04
2001-09-14,2001-09-17,19.64,20.07,12254.28,5251.37
2001-09-18,2001-10-03,18.61,20.11,13218.63,19826.01
2001-10-04,2001-12-13,19.43,17.53,13680.3,-25892.42
2001-12-18,2001-12-19,18.29,18.49,13114.07,2622.52
2001-12-20,2002-01-04,18.21,18.75,13314.63,7132.02
2002-01-09,2002-01-10,19.21,19.84,12992.9,8166.23
2002-01-14,2002-01-16,19.42,19.78,13274.84,4835.39
2002-01-18,2002-02-05,19.57,20.94,13420.18,18403.06
2002-02-07,2002-02-08,20.89,21.78,13452.3,12009.76
2002-02-12,2002-03-28,20.21,21.34,14498.06,16360.44
2002-04-01,2002-04-02,20.92,21.82,14790.09,13309.8
2002-04-03,2002-04-26,20.96,21.86,15400.04,13858.59
2002-05-01,2002-05-02,22.18,22.89,15171.97,10727.79
2002-05-08,2002-05-13,22.85,24.0,15195.67,17364.85
2002-05-15,2002-05-22,23.36,25.21,15609.13,28874.24
2002-05-23,2002-05-24,24.57,25.28,16017.51,11325.54
2002-05-27,2002-05-29,25.07,25.46,16149.85,6344.07
2002-05-30,2002-09-04,24.64,18.08,16688.17,-109535.63
2002-09-05,2002-09-06,18.14,18.49,16629.05,5819.52
2002-09-09,2002-09-10,18.86,18.75,16307.79,-1747.25
2002-09-11,2002-09-13,18.5,19.75,16528.16,20658.25
2002-09-16,2002-09-17,19.68,19.46,16588.16,-3554.24
2002-09-18,2002-09-23,19.75,20.03,16348.19,4670.58
2002-09-24,2002-09-25,20.07,20.43,16319.1,5827.66
2002-09-26,2002-11-05,18.32,17.61,18195.95,-12995.89
2002-11-11,2002-12-17,18.07,18.57,17728.47,8863.35
2002-12-18,2003-01-24,17.37,18.28,18953.13,17326.99
2003-01-28,2003-04-01,17.83,16.43,19439.11,-27212.22
2003-04-02,2003-05-09,15.64,16.73,20415.5,22309.18
2003-05-14,2003-05-16,16.82,17.39,20311.47,11605.36
2003-05-20,2003-05-21,17.23,17.57,20505.15,7029.5
2003-05-23,2003-06-18,18.03,17.93,19977.29,-1997.53
2003-06-19,2003-07-23,17.81,17.8,20113.46,-287.34
2003-07-29,2003-08-11,17.95,18.45,19945.39,9971.79
2003-08-13,2003-08-15,18.0,18.43,20444.02,8760.87
2003-08-18,2003-08-20,17.94,18.96,20997.44,21295.41
2003-08-22,2003-08-28,19.55,19.98,20360.68,8870.45
2003-09-03,2003-09-08,19.78,20.41,20573.92,12931.02
2003-09-09,2003-10-30,20.6,18.36,20381.32,-45708.03
2003-10-31,2003-11-06,18.2,18.32,20557.29,2495.9
2003-11-07,2003-11-10,18.15,18.72,20751.45,11856.85
2003-11-11,2003-11-12,18.7,19.06,20775.23,7419.08
2003-11-14,2003-11-19,19.67,20.11,20126.47,8768.41
2003-11-21,2003-11-27,20.43,20.8,19809.79,7398.63
2003-11-28,2003-12-02,20.94,20.7,19674.35,-4789.42
2003-12-03,2003-12-04,20.87,21.14,19512.36,5308.89
2003-12-05,2003-12-08,20.91,21.18,19732.88,5369.1
2003-12-09,2003-12-30,20.99,21.55,19914.65,11264.82
2003-12-31,2004-02-12,21.3,20.2,20148.95,-22217.47
2004-02-13,2004-03-09,19.91,20.41,20446.1,10247.6
2004-03-11,2004-03-17,19.96,20.62,20900.79,13768.05
2004-03-23,2004-03-24,20.91,21.07,20614.47,3394.74
2004-03-25,2004-03-26,21.21,21.52,20482.24,6452.96
2004-04-06,2004-04-13,22.06,22.22,19983.65,3291.15
2004-04-14,2004-05-26,20.73,20.28,21426.35,-9511.78
2004-05-31,2004-06-01,20.32,20.5,21392.3,3993.18
2004-06-02,2004-08-23,20.16,18.77,21757.98,-30147.31
2004-08-24,2004-09-01,18.29,18.73,22338.87,9943.26
2004-09-03,2004-10-01,18.39,19.01,22748.69,14045.14
2004-10-04,2004-10-05,18.82,19.25,22983.03,9899.91
2004-10-08,2004-10-26,19.71,19.67,22447.18,-805.85
2004-10-28,2004-11-01,19.42,19.71,22737.62,6529.35
2004-11-02,2004-11-10,19.16,19.92,23385.06,17795.52
2004-11-11,2004-11-17,19.35,20.28,24070.3,22291.56
2004-11-24,2004-11-30,21.19,21.53,23042.56,7882.01
2004-12-01,2005-02-11,21.05,20.23,23562.3,-19326.77
2005-02-16,2005-02-17,20.25,20.65,23545.56,9487.15
2005-02-22,2005-02-23,21.63,21.82,22480.3,4205.52
2005-02-25,2005-02-28,22.12,22.38,22165.94,5741.62
2005-03-01,2005-03-03,21.94,22.2,22609.27,5856.4
2005-03-04,2005-03-07,22.43,22.48,22384.41,1288.42
2005-03-08,2005-03-09,22.23,22.74,22637.96,11401.75
2005-03-10,2005-06-02,22.48,21.15,22891.5,-30461.09
2005-06-03,2005-06-13,20.63,21.29,23476.2,15587.95
2005-06-15,2005-06-17,20.93,22.19,23880.96,30162.22
2005-06-21,2005-06-24,21.48,22.01,24675.38,13178.5
2005-06-28,2005-06-30,21.71,22.88,25019.92,29253.4
2005-07-04,2005-08-03,22.08,22.23,25919.33,3741.41
2005-08-08,2005-08-09,22.84,22.88,25223.24,910.12
2005-08-10,2005-08-12,22.94,23.89,25159.75,23969.39
2005-08-15,2005-09-13,23.59,23.7,25475.3,2757.97
2005-09-14,2005-09-16,23.38,24.36,25829.23,25352.98
2005-09-20,2005-09-30,24.29,24.71,25898.3,10841.14
2005-10-03,2005-11-22,24.37,23.46,26266.53,-23886.51
2005-11-24,2005-12-09,22.85,23.91,26963.43,28684.53
2005-12-12,2005-12-30,23.7,23.9,27202.49,5322.51
2006-01-03,2006-01-04,23.67,24.09,27469.01,11744.61
2006-01-10,2006-01-17,25.28,25.32,26185.35,1138.23
2006-01-18,2006-01-20,24.68,25.62,26861.88,25110.84
2006-01-23,2006-02-01,25.15,26.09,27365.05,25779.14
2006-02-02,2006-03-31,25.91,23.01,27556.42,-79875.9
2006-04-03,2006-04-04,23.43,23.67,27062.06,6667.39
2006-04-05,2006-04-06,23.69,24.6,27045.49,24694.37
2006-04-10,2006-04-18,24.72,25.09,26918.63,10143.61
2006-04-21,2006-05-05,24.75,26.81,27296.99,56375.98
2006-05-09,2006-05-10,27.69,27.59,26432.57,-2681.71
2006-05-12,2006-07-05,27.46,24.63,26551.14,-75382.84
2006-07-06,2006-07-10,24.01,24.29,27234.83,7725.04
2006-07-13,2006-08-01,24.91,25.34,26558.93,11396.05
2006-08-04,2006-08-10,26.6,26.47,25295.59,-3495.59
2006-08-11,2006-08-22,26.18,26.73,25569.63,14132.88
2006-08-24,2006-09-06,26.91,27.13,25403.77,5727.76
2006-09-07,2006-11-01,26.44,25.64,26067.52,-21043.88
2006-11-03,2006-12-01,25.35,26.1,26359.14,19766.64
2006-12-04,2006-12-05,25.74,26.1,26732.92,9561.52
2006-12-06,2006-12-29,25.53,26.07,27329.19,14761.78
2007-01-02,2007-01-03,26.24,26.45,27146.73,5548.11
2007-01-04,2007-02-02,25.47,25.99,28189.34,14609.54
2007-02-05,2007-02-06,26.06,26.37,28110.37,8617.8
2007-02-08,2007-02-09,26.28,26.61,28204.09,9264.41
2007-02-12,2007-02-15,26.2,26.53,28636.18,9406.12
2007-02-19,2007-02-22,26.72,27.24,28440.58,14947.35
2007-02-23,2007-04-05,26.93,24.78,28764.29,-61938.85
2007-04-09,2007-05-07,24.69,24.82,28866.33,3582.17
2007-05-10,2007-06-22,24.6,23.29,29123.3,-38033.32
2007-06-26,2007-07-09,22.71,23.85,29866.67,33973.35
2007-07-12,2007-07-13,24.1,24.57,29557.45,13882.33
2007-07-17,2007-07-19,24.44,25.91,29717.22,43617.1
2007-07-25,2007-09-07,25.62,28.62,30049.2,90193.22
2007-09-13,2007-09-19,28.18,29.08,30518.72,27324.29
2007-09-20,2007-09-21,29.35,30.09,30228.8,22184.01
2007-09-24,2007-10-10,29.27,30.5,31069.95,38077.7
2007-10-12,2007-10-15,30.03,30.7,31555.9,21074.03
2007-10-17,2007-11-05,30.65,30.74,31608.8,3015.62
2007-11-08,2007-12-31,31.59,30.76,30757.09,-25697.61
2008-01-02,2008-01-03,31.43,33.64,30100.85,66542.35
2008-01-07,2008-01-09,35.21,36.19,28758.96,28185.01
2008-01-11,2008-01-14,36.84,39.42,28247.05,72852.32
2008-01-16,2008-01-28,37.03,38.91,30073.99,56510.59
2008-01-30,2008-02-29,38.91,38.24,30073.99,-19945.21
2008-03-03,2008-03-04,38.41,38.84,29947.03,13019.79
2008-03-05,2008-05-22,37.91,31.13,30686.39,-207807.53
2008-05-23,2008-06-09,31.17,31.83,30650.11,20251.11
2008-06-11,2008-06-27,30.36,32.59,32130.3,71387.13
2008-07-03,2008-07-11,33.33,36.23,31409.32,90953.36
2008-07-16,2008-09-23,36.99,29.25,30767.81,-237891.96
2008-09-24,2008-09-25,29.22,29.1,30806.79,-3650.66
2008-09-26,2008-09-30,28.56,29.62,31390.02,33476.46
2008-10-01,2008-11-24,28.88,26.76,32194.89,-68430.85
2008-11-25,2008-11-27,25.98,26.73,33158.53,24982.08
2008-12-02,2008-12-11,25.15,29.29,35243.85,145681.54
2008-12-12,2008-12-15,27.61,29.51,37387.06,71133.0
2008-12-19,2008-12-30,29.25,33.43,37720.88,157608.97
2008-12-31,2009-01-22,32.67,34.02,38590.91,52116.55
2009-01-23,2009-01-26,34.32,37.02,38255.31,103326.55
2009-01-27,2009-04-02,34.47,30.74,41087.22,-153280.65
2009-04-03,2009-05-07,30.0,29.4,42098.83,-25442.36
2009-05-14,2009-05-21,30.14,30.7,41056.79,22975.65
2009-05-27,2009-09-03,31.02,31.54,40635.83,21044.49
2009-09-08,2009-10-07,33.76,31.07,37961.7,-102004.63
2009-10-09,2009-11-04,30.88,31.6,38201.62,27527.3
2009-11-11,2009-11-17,34.53,34.41,34962.83,-3935.6
2009-11-19,2009-12-02,34.6,36.84,34773.22,77674.22
2009-12-04,2010-02-19,35.85,30.63,35731.42,-186446.22
2010-02-23,2010-03-04,30.16,31.2,36285.25,37757.3
2010-03-05,2010-03-08,31.2,31.16,36285.23,-1641.52
2010-03-09,2010-04-08,30.46,30.85,37111.54,14271.92
2010-04-13,2010-04-29,30.57,32.37,37450.27,67492.09
2010-05-04,2010-05-07,33.05,34.12,36681.28,39275.81
2010-05-10,2010-05-12,33.32,35.86,37561.15,95447.06
2010-05-13,2010-05-17,34.94,35.63,38550.02,26452.44
2010-05-18,2010-06-18,34.04,35.49,40351.98,58514.15
2010-06-22,2010-06-28,34.66,36.4,41313.15,71662.79
2010-06-29,2010-07-02,36.21,34.84,41520.55,-56925.9
2010-07-05,2010-08-11,34.77,34.23,41611.0,-22378.59
2010-08-12,2010-08-13,34.09,33.99,41786.7,-4114.47
2010-08-16,2010-08-17,34.24,34.55,41481.62,12882.44
2010-08-24,2010-08-26,34.65,36.16,41354.67,62336.65
2010-09-02,2010-10-07,36.45,37.57,41025.36,45798.51
2010-10-08,2010-10-12,36.98,37.16,41674.01,7279.11
2010-10-13,2010-10-14,37.55,37.45,41244.11,-3758.78
2010-10-15,2010-11-09,37.21,39.56,41513.47,97415.52
2010-11-10,2010-11-11,39.0,39.59,42103.5,24619.54
2010-11-15,2010-12-01,38.91,40.32,42834.8,60361.89
2010-12-08,2011-02-16,41.18,37.3,41940.1,-162819.97
2011-02-25,2011-03-02,38.47,40.06,40665.5,64534.67
2011-03-04,2011-04-06,39.1,40.02,41657.34,38140.05
2011-04-07,2011-04-25,39.52,39.33,42180.08,-8045.73
2011-04-26,2011-07-06,37.52,34.34,44221.73,-140333.86
